airport,degree,betweenness,pagerank,cluster
00AK,0.0006215592257147931,3.113367456018236e-05,6.43853193282228e-05,1
3AK5,0.0013319126265316996,8.117471394410591e-05,0.00010411524211406567,1
9AK5,0.0007103534008169064,1.8758416100277586e-08,7.568293689697584e-05,1
PAEN,0.003906943704492985,0.0010969907768175909,0.0005114885136173413,0
PANC,0.02503995737879595,0.017217281598661583,0.0024019392603391574,2
00AL,0.0003551767004084532,5.592561906040933e-09,3.211419010352793e-05,1
K3A1,0.0028414136032676256,0.00021450156080828894,0.00011705387274773121,1
K5M0,0.0007103534008169064,1.2930469690961422e-06,4.7208112224028735e-05,1
00AZ,0.0010655301012253596,1.1897392767050633e-05,8.318967661213606e-05,1
2AZ3,0.0006215592257147931,5.240171958187569e-08,3.575569061803689e-05,1
2AZ7,0.0010655301012253596,2.4801180162913695e-06,4.82491449418102e-05,1
KDVT,0.01633812821878885,0.0014533915296617544,0.0006715107756691492,0
KFFZ,0.014295862191440242,0.001283386572294667,0.000822478918810287,0
KGEU,0.00781388740898597,0.0003648450834570084,0.00028004102950587113,0
KP19,0.003019001953471852,0.00013788180356220128,0.0001280201536737085,1
KPHX,0.03684958266737702,0.007334626459269304,0.0035886703325104237,2
KSDL,0.029479666133901617,0.005979674021124923,0.0009620929256174145,3
00CL,0.0005327650506126798,1.3772572460467824e-07,3.5003138859027606e-05,1
CL36,0.006304386432250044,0.00020661888190631883,0.0002248683424446251,1
KSTS,0.016249334043686735,0.001989942909623262,0.0005581480098700379,0
00FA,0.0002663825253063399,3.05622901249556e-07,3.787059615346065e-05,1
FL67,0.0007991475759190197,0.00015048710973578663,7.18336847797018e-05,1
00FL,0.0003551767004084532,3.667321710269076e-08,2.1397315517887145e-05,1
06FA,0.004439708755105665,0.00017961412310382139,0.00033315783922176293,1
7FL3,0.0011543242763274728,4.860786820192652e-06,7.753885652563308e-05,1
00GA,0.0001775883502042266,0.0,2.0996074210422953e-05,1
KJYO,0.02042266027348606,0.0031136340385849786,0.0008705312492131356,0
00IL,0.0002663825253063399,3.4918950408768344e-07,2.4352149955779686e-05,1
KC77,0.006837151482862724,0.001109635878291396,0.00041551588446442345,0
KJVL,0.012431184514295862,0.0020282150617323557,0.0005110662517528023,0
00IS,8.87941751021133e-05,0.0,1.8386629517644837e-05,1
IL32,0.0002663825253063399,8.1185048117517e-05,3.403853411149726e-05,1
00KS,0.0009767359261232463,8.889035428464355e-06,3.395841116067972e-05,1
3LL6,0.0003551767004084532,6.798853563435518e-07,2.8420277711585006e-05,1
54KS,0.0010655301012253596,0.00015243956278576619,6.784317463192561e-05,1
61MU,0.0004439708755105665,0.0,2.665518208136395e-05,1
71KS,0.0016870893269401528,0.00011330421131094712,9.067231673001784e-05,1
KSUS,0.031877108861658676,0.010763153397189237,0.001137423036553135,3
SN45,0.0006215592257147931,3.6849743797517814e-07,4.387368466087468e-05,1
SN59,0.005860415556739478,0.0010961883192033334,0.0004125557243262961,0
TS63,0.007192328183271177,0.0011147216116795288,0.00038061963765610615,0
00MD,8.87941751021133e-05,0.0,1.8386629517644837e-05,1
KCGE,0.005150062155922571,0.0005393121613614285,0.00029216802292834557,1
00MO,0.0002663825253063399,7.813683456959008e-06,2.7884541067964513e-05,1
K03B,0.0003551767004084532,5.786793569647315e-07,3.5303204976747887e-05,1
00NC,0.0007991475759190197,6.973785778682187e-05,4.5836709613327246e-05,1
1II4,0.0001775883502042266,0.0,4.107605317911006e-05,1
KLHZ,0.0014207068016338128,1.6754173133926984e-05,3.763137022535276e-05,1
KOSU,0.026815840880838215,0.008171992035260629,0.0012385101665875727,3
KRAC,0.004173326229799325,0.0002669310383892389,0.00021086456980155252,1
00NY,0.0005327650506126798,7.385291716058027e-05,3.791094172602776e-05,1
46NY,0.0005327650506126798,6.959987571902054e-05,4.2074631300424626e-05,1
90NY,0.004528502930207778,0.0006119665997484037,0.00017756277361203406,1
KROC,0.019801101047771268,0.0042654886647424785,0.0009763343642940742,3
NY38,8.87941751021133e-05,0.0,2.6484449148407966e-05,1
00PN,8.87941751021133e-05,0.0,1.8386629517644837e-05,1
PN16,0.0010655301012253596,0.0002256624920631683,7.659118830108891e-05,1
00SC,0.0005327650506126798,1.3926117167620854e-06,2.7990730671735845e-05,1
KCEU,0.006481974782454271,0.0003328943839920363,0.00017558890107474527,1
KSGR,0.014473450541644468,0.002686424617595517,0.0006200282781693519,0
KSRQ,0.031521932161250224,0.005824067057732962,0.0010645178958186776,3
00VA,0.0016870893269401528,0.000159424086438251,5.9459416024963964e-05,1
23VG,0.0004439708755105665,3.462779347036706e-08,2.383939711985033e-05,1
33VA,0.0007103534008169064,1.6100770709603027e-06,6.586203649214748e-05,1
3VG9,0.0010655301012253596,3.023568073540878e-06,4.008957629044447e-05,1
71NC,0.002397442727757059,0.00011239141673437489,0.00019720184147513028,1
K2A5,0.0034629728289824187,0.00010385244899607113,0.00014576589275704002,1
KDAN,0.0009767359261232463,8.231299152487606e-05,7.622234655040423e-05,1
KHNZ,0.002042266027348606,1.3834915917553424e-05,7.03548491437453e-05,1
KIGX,0.004883679630616231,0.0004744889337512288,0.0003806500801990244,1
KPVG,0.011543242763274729,0.0019139382709842717,0.0005035731186748447,0
KRDU,0.038359083644112946,0.010494964724126438,0.0020869666825678907,3
KRWI,0.008080269934292311,0.00121924880140567,0.00038298644998045083,0
KTTA,0.012431184514295862,0.0016772805264109846,0.0005636712034269352,0
NC40,0.0001775883502042266,0.0,2.1554711161815957e-05,1
00WA,0.0002663825253063399,0.0,2.1050629520505538e-05,1
KPLU,0.007902681584088083,0.0004022935341921638,0.0003281210295926833,0
KTIW,0.012253596164091635,0.001425117880696335,0.0005317850550167545,0
00WI,0.0010655301012253596,5.281736576041521e-05,4.812671996602845e-05,1
